# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "exon" "-g" "gene_id" "-a" "/home/ylchen/AD/database/genome/Ensembl/Homo_sapiens/GRCh38_release103/Homo_sapiens.GRCh38.103.gtf.gz" "-o" "sample19.txt" "SRR1931812" "SRR1931814" "SRR1931815" "SRR1931816" "SRR1931818" "SRR1931819" 
Geneid	SRR1931812	SRR1931814	SRR1931815	SRR1931816	SRR1931818	SRR1931819
ENSG00000223972	0	0	0	0	3	1
ENSG00000227232	21	19	15	6	50	30
ENSG00000278267	16	32	91	5	21	27
ENSG00000243485	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	1	18	0	0	4	3
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	3	13	2	29	4	12
ENSG00000268903	0	4	0	6	0	4
ENSG00000269981	28	2	0	0	0	0
ENSG00000239906	9	0	0	0	6	3
ENSG00000241860	33	3	24	8	13	1
ENSG00000222623	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
ENSG00000279928	7	4	10	0	2	3
ENSG00000279457	51	121	174	27	108	100
ENSG00000273874	3	1	1	1	0	2
ENSG00000228463	114	100	60	32	69	84
ENSG00000286448	0	0	3	0	0	0
ENSG00000236679	4	10	10	2	0	2
ENSG00000236601	0	0	1	0	0	0
ENSG00000237094	105	49	61	21	42	90
ENSG00000269732	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0
ENSG00000233653	0	0	4	8	9	6
ENSG00000250575	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0
ENSG00000230021	55	22	47	39	24	24
ENSG00000235146	0	0	0	0	0	0
ENSG00000225972	0	2	2	1	0	2
ENSG00000225630	222	233	202	355	458	211
ENSG00000237973	49	270	73	140	61	66
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	7	2	5	13	9	8
ENSG00000240409	0	0	0	0	0	0
ENSG00000248527	166	264	236	461	351	247
ENSG00000198744	3	4	16	7	6	1
ENSG00000268663	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0
ENSG00000229376	23	47	36	15	32	43
ENSG00000228327	59	41	163	28	67	50
ENSG00000223181	7	0	0	6	9	1
ENSG00000229905	0	0	0	0	0	0
ENSG00000237491	272	286	498	210	224	193
ENSG00000285268	0	0	0	0	0	0
ENSG00000230092	16	10	22	16	7	16
ENSG00000177757	113	44	103	63	76	58
ENSG00000228794	2060	1854	2395	1735	1775	1826
ENSG00000225880	66	165	125	129	68	53
ENSG00000288531	14	139	41	12	26	59
ENSG00000230368	0	141	36	0	13	36
ENSG00000234711	6	25	1	0	0	6
ENSG00000283040	5	36	6	0	8	12
